City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Ukiah,US,39.1502,-123.2078,53.44,76,100,11.5,overcast clouds
231,Palmer,US,42.1584,-72.3287,66.81,55,75,9.22,broken clouds
232,Fare,PF,-16.7,-151.0167,81.03,75,51,16.46,moderate rain
233,Coquimbo,CL,-29.9533,-71.3436,59.86,79,2,2.24,clear sky
234,Lata,PT,40.1629,-8.3327,49.12,98,100,2.04,overcast clouds
235,Fredericksburg,US,38.3032,-77.4605,82.35,44,0,10.36,clear sky
236,Mogadishu,SO,2.0371,45.3438,81.88,77,50,8.43,scattered clouds
237,Asau,RO,46.4333,26.4,49.28,69,96,4.52,overcast clouds
238,Karratha,AU,-20.7377,116.8463,88.09,27,0,3.74,clear sky
239,Butaritari,KI,3.0707,172.7902,81.73,76,21,16.04,light rain
240,Mbuji-Mayi,CD,-6.15,23.6,72.72,80,100,2.19,overcast clouds
241,Bud,US,39.447,-86.1758,62.87,97,100,20.42,moderate rain
242,Hervey Bay,AU,-25.2986,152.8535,74.01,77,22,8.99,few clouds
243,Zyryanka,RU,65.75,150.85,11.86,85,100,12.01,overcast clouds
244,Partizanskoye,RU,55.5006,94.39,32.32,59,11,4.76,few clouds
245,Ponta Do Sol,PT,32.6667,-17.1,63.72,83,99,2.91,overcast clouds
246,Vao,NC,-22.6667,167.4833,75.88,70,10,4.81,clear sky
247,Pangoa,PE,-12.1167,-73.0,71.47,95,100,1.57,overcast clouds
248,Poum,NC,-20.2333,164.0167,78.51,70,6,6.17,clear sky
249,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,14.97,few clouds
250,Anshun,CN,26.25,105.9333,59.58,82,100,8.63,overcast clouds
251,Buala,SB,-8.145,159.5921,85.35,68,33,8.66,light rain
252,Port Macquarie,AU,-31.4333,152.9167,71.89,66,2,8.5,clear sky
253,Belokurikha,RU,51.9959,84.9896,36.9,68,0,5.1,clear sky
254,Slave Lake,CA,55.2834,-114.769,26.58,39,0,5.75,clear sky
255,Port Augusta,AU,-32.5,137.7667,79.02,21,100,3.13,overcast clouds
256,Saquarema,BR,-22.92,-42.5103,76.14,90,94,7.09,overcast clouds
257,Andra,RU,62.5147,65.8878,33.55,99,100,8.84,overcast clouds
258,Chuy,UY,-33.6971,-53.4616,54.99,72,0,7.85,clear sky
