City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Khandyga,RU,2022-04-13 23:47:40,62.6667,135.6,21.69,89,93,4.14
142,Muncar,ID,2022-04-13 23:47:40,-8.4333,114.3333,79.41,80,20,1.12
143,Camocim,BR,2022-04-13 23:47:41,-2.9022,-40.8411,77.59,87,46,6.89
144,Margate,GB,2022-04-13 23:47:41,51.3813,1.3862,51.31,82,1,1.01
145,Salinas,US,2022-04-13 23:43:48,36.6777,-121.6555,63.48,49,0,13.8
146,Ponta Delgada,PT,2022-04-13 23:44:37,37.7333,-25.6667,61.52,88,20,13.8
147,Fortuna,US,2022-04-13 23:47:42,40.5982,-124.1573,48.92,90,75,17.27
148,Bundaberg,AU,2022-04-13 23:46:21,-24.85,152.35,71.22,80,40,10.36
149,Batagay,RU,2022-04-13 23:47:43,67.6333,134.6333,13.57,89,98,0.92
150,Victoria,HK,2022-04-13 23:44:22,22.2855,114.1577,77.95,78,6,5.99
151,Alofi,NU,2022-04-13 23:47:43,-19.0595,-169.9187,80.49,89,75,6.91
152,Souillac,MU,2022-04-13 23:47:44,-20.5167,57.5167,77.38,88,75,11.5
153,Ryotsu,JP,2022-04-13 23:47:44,38.0833,138.4333,50.09,77,99,14.83
154,Saint-Philippe,RE,2022-04-13 23:46:02,-21.3585,55.7679,76.59,88,77,15.17
155,Kapit,MY,2022-04-13 23:47:45,2.0167,112.9333,75.25,97,85,1.39
156,Makakilo City,US,2022-04-13 23:47:45,21.3469,-158.0858,82.72,50,100,20.71
157,Plouzane,FR,2022-04-13 23:47:46,48.3833,-4.6167,50.32,100,100,3.44
158,Sioux Lookout,CA,2022-04-13 23:47:46,50.1001,-91.917,30.27,93,100,8.05
159,Chapais,CA,2022-04-13 23:47:46,49.7834,-74.8492,44.38,91,62,4.41
160,Dikson,RU,2022-04-13 23:47:47,73.5069,80.5464,20.41,96,100,9.98
161,Sur,OM,2022-04-13 23:47:47,22.5667,59.5289,85.44,32,1,7.02
162,Mindelo,CV,2022-04-13 23:47:48,16.8901,-24.9804,69.35,64,20,23.02
163,Qiqihar,CN,2022-04-13 23:47:48,47.3408,123.9672,43.54,30,74,14.52
164,Golyshmanovo,RU,2022-04-13 23:47:48,56.3979,68.3728,42.75,72,75,13.47
165,Qaanaaq,GL,2022-04-13 23:47:49,77.484,-69.3632,-1.03,93,100,6.49
166,Kosino,RU,2022-04-13 23:47:49,58.4127,51.2782,32.58,99,63,2.95
167,Mar Del Plata,AR,2022-04-13 23:47:50,-38.0023,-57.5575,58.08,81,0,7.0
168,North Bend,US,2022-04-13 23:47:50,43.4065,-124.2243,48.85,95,100,9.22
169,Tiksi,RU,2022-04-13 23:47:50,71.6872,128.8694,-5.12,99,100,4.81
170,Yar-Sale,RU,2022-04-13 23:47:51,66.8333,70.8333,33.17,99,100,5.61
171,Saskylakh,RU,2022-04-13 23:47:51,71.9167,114.0833,0.63,95,100,9.22
172,Southbridge,US,2022-04-13 23:44:57,42.0751,-72.0334,68.11,85,61,5.48
173,Zolotyy Potik,UA,2022-04-13 23:47:52,48.9095,25.3393,41.07,69,74,4.18
174,La Palma,US,2022-04-13 23:47:52,33.8464,-118.0467,77.95,34,0,9.22
175,Torbay,CA,2022-04-13 23:47:53,47.6666,-52.7314,34.29,94,100,17.27
176,Karratha,AU,2022-04-13 23:47:53,-20.7377,116.8463,84.51,31,1,4.36
177,Paramonga,PE,2022-04-13 23:47:53,-10.6667,-77.8333,67.41,82,13,9.44
178,Diffa,NE,2022-04-13 23:47:54,13.3154,12.6113,86.56,14,53,6.49
179,Gambela,ET,2022-04-13 23:47:54,8.25,34.5833,75.88,70,62,5.93
180,San-Pedro,CI,2022-04-13 23:47:55,4.7485,-6.6363,74.98,91,95,6.91
181,Mujiayingzi,CN,2022-04-13 23:47:55,42.1167,118.7833,42.66,45,4,9.86
182,Saint-Paul,RE,2022-04-13 23:47:56,-21.0096,55.2707,77.11,82,22,4.7
183,Veraval,IN,2022-04-13 23:47:56,20.9,70.3667,78.12,81,0,13.27
184,Malakal,SS,2022-04-13 23:48:56,9.5334,31.6605,85.01,42,3,2.53
185,Westport,US,2022-04-13 23:48:57,41.1415,-73.3579,68.14,71,0,8.05
186,Longyearbyen,SJ,2022-04-13 23:48:57,78.2186,15.6401,17.44,67,75,3.44
187,Meulaboh,ID,2022-04-13 23:48:57,4.1363,96.1285,76.5,88,57,3.76
188,Srandakan,ID,2022-04-13 23:48:58,-7.9386,110.2506,78.33,82,54,3.96
189,Kalmar,SE,2022-04-13 23:48:58,56.6616,16.3616,43.97,84,75,1.14
190,Antofagasta,CL,2022-04-13 23:48:59,-23.65,-70.4,61.88,86,25,3.06
191,Iqaluit,CA,2022-04-13 23:48:59,63.7506,-68.5145,1.13,78,20,18.41
192,Awbari,LY,2022-04-13 23:48:59,26.5921,12.7805,78.69,7,67,4.92
193,Cabo San Lucas,MX,2022-04-13 23:45:15,22.8909,-109.9124,80.62,60,80,8.1
194,Morrisburg,CA,2022-04-13 23:49:00,44.9001,-75.1826,50.58,94,100,9.84
195,Fairbanks,US,2022-04-13 23:45:02,64.8378,-147.7164,43.3,35,75,1.01
196,Maumere,ID,2022-04-13 23:49:00,-8.6199,122.2111,81.7,80,100,1.12
197,Vanimo,PG,2022-04-13 23:44:54,-2.6741,141.3028,85.32,66,73,5.26
198,Padang,ID,2022-04-13 23:49:01,-0.9492,100.3543,73.45,83,73,3.29
199,Kalmunai,LK,2022-04-13 23:49:01,7.4167,81.8167,78.13,84,81,3.36
200,Ponta Do Sol,PT,2022-04-13 23:48:39,32.6667,-17.1,64.71,83,60,3.2
201,Rabo De Peixe,PT,2022-04-13 23:49:02,37.8,-25.5833,60.31,88,20,13.8
202,Butaritari,KI,2022-04-13 23:49:03,3.0707,172.7902,81.72,76,87,16.22
203,Tual,ID,2022-04-13 23:49:03,-5.6667,132.75,83.28,72,90,3.38
204,Colac,AU,2022-04-13 23:49:04,-38.3333,143.5833,62.83,49,96,7.81
205,Necochea,AR,2022-04-13 23:49:04,-38.5473,-58.7368,55.72,70,0,8.99
206,Najran,SA,2022-04-13 23:49:04,17.4924,44.1277,74.05,34,0,5.1
207,Nikolskoye,RU,2022-04-13 23:49:05,59.7035,30.7861,35.8,92,85,2.8
208,Mednogorsk,RU,2022-04-13 23:49:05,51.4128,57.595,52.66,76,87,6.67
209,Port Macquarie,AU,2022-04-13 23:47:33,-31.4333,152.9167,69.89,88,40,5.75
210,Chokurdakh,RU,2022-04-13 23:49:06,70.6333,147.9167,0.63,90,49,2.71
211,Antalaha,MG,2022-04-13 23:49:06,-14.9003,50.2788,73.06,87,4,6.38
212,Saint George,US,2022-04-13 23:47:44,37.1041,-113.5841,63.63,8,0,18.41
213,Tasiilaq,GL,2022-04-13 23:49:07,65.6145,-37.6368,26.76,84,100,5.95
214,Riyadh,SA,2022-04-13 23:47:42,24.6877,46.7219,80.74,29,100,8.32
215,Puerto Escondido,MX,2022-04-13 23:49:08,15.85,-97.0667,84.52,67,98,7.65
216,Ixtapa,MX,2022-04-13 23:49:08,20.7,-105.2,78.22,80,25,8.01
217,College,US,2022-04-13 23:49:08,64.8569,-147.8028,43.29,35,75,1.01
218,Griffith,US,2022-04-13 23:46:03,41.5284,-87.4237,64.33,90,100,13.8
219,Oxelosund,SE,2022-04-13 23:49:09,58.6706,17.1015,39.58,81,75,11.5
220,La Ronge,CA,2022-04-13 23:49:09,55.1001,-105.2842,25.05,50,100,12.66
221,Sakakah,SA,2022-04-13 23:49:10,29.9697,40.2064,69.37,25,19,12.84
222,Bajil,YE,2022-04-13 23:49:10,15.0584,43.2851,86.23,39,0,2.84
223,Ahuimanu,US,2022-04-13 23:49:11,21.4447,-157.8378,83.91,62,100,18.41
224,Clyde River,CA,2022-04-13 23:49:11,70.4692,-68.5914,-9.17,84,20,2.3
225,Richards Bay,ZA,2022-04-13 23:49:12,-28.783,32.0377,70.39,79,89,6.35
226,Acari,PE,2022-04-13 23:49:12,-15.4311,-74.6158,70.21,73,2,3.53
227,Thunder Bay,CA,2022-04-13 23:49:13,48.4001,-89.3168,40.28,65,100,24.16
228,Pombia,IT,2022-04-13 23:49:13,45.653,8.6336,57.09,69,0,5.75
229,Isangel,VU,2022-04-13 23:49:14,-19.55,169.2667,83.34,72,11,5.88
230,Amahai,ID,2022-04-13 23:49:15,-3.3333,128.9167,82.26,73,82,1.45
231,Namatanai,PG,2022-04-13 23:50:15,-3.6667,152.4333,85.01,66,70,4.5
232,Matamoros,MX,2022-04-13 23:50:15,25.5333,-103.25,85.78,6,28,3.42
233,Narsaq,GL,2022-04-13 23:50:16,60.9167,-46.05,36.52,60,97,6.76
234,Boyolangu,ID,2022-04-13 23:50:16,-8.1181,111.8935,77.63,84,26,0.49
235,Luanda,AO,2022-04-13 23:50:04,-8.8368,13.2343,77.22,89,100,9.04
236,Kampot,KH,2022-04-13 23:50:17,10.6167,104.1833,84.25,83,83,4.36
237,Phangnga,TH,2022-04-13 23:50:17,8.4509,98.5298,77.04,91,88,2.55
238,Hoquiam,US,2022-04-13 23:45:42,46.9809,-123.8893,45.93,87,100,4.0
239,Bambanglipuro,ID,2022-04-13 23:50:18,-7.95,110.2833,77.95,81,46,3.78
240,Puerto Ayora,EC,2022-04-13 23:50:19,-0.7393,-90.3518,77.43,85,85,7.94
241,Sorland,NO,2022-04-13 23:50:19,67.667,12.6934,38.5,72,11,9.28
242,Berdigestyakh,RU,2022-04-13 23:50:19,62.0989,126.6992,27.19,93,100,8.28
243,Yamada,JP,2022-04-13 23:50:20,39.4667,141.95,40.64,89,100,7.83
244,Snasa,NO,2022-04-13 23:50:20,64.2457,12.3778,26.51,98,89,4.0
245,Bonthe,SL,2022-04-13 23:45:21,7.5264,-12.505,78.24,85,86,3.11
246,Tautira,PF,2022-04-13 23:50:20,-17.7333,-149.15,81.37,75,34,18.88
247,Banda Aceh,ID,2022-04-13 23:50:21,5.5577,95.3222,80.35,80,94,5.57
248,Caravelas,BR,2022-04-13 23:50:21,-17.7125,-39.2481,76.55,85,6,6.06
249,Mangrol,IN,2022-04-13 23:48:38,21.1167,70.1167,78.31,83,0,11.48
250,Chabahar,IR,2022-04-13 23:50:21,25.2919,60.643,80.82,55,8,2.39
251,Beloha,MG,2022-04-13 23:50:22,-25.1667,45.05,73.11,65,63,4.81
252,Ostrovnoy,RU,2022-04-13 23:50:22,68.0531,39.5131,11.21,97,94,7.02
253,Palmaner,IN,2022-04-13 23:50:23,13.2,78.75,71.33,91,99,1.59
254,Oranjemund,NA,2022-04-13 23:50:23,-28.55,16.4333,58.12,91,99,3.94
255,Abonnema,NG,2022-04-13 23:50:24,4.7084,6.7931,79.09,89,86,3.36
256,Kathmandu,NP,2022-04-13 23:49:56,27.7167,85.3167,64.62,94,20,3.44
257,Taksimo,RU,2022-04-13 23:50:24,56.3444,114.8794,25.9,71,100,2.84
258,Likasi,CD,2022-04-13 23:50:25,-10.9814,26.7333,61.0,96,93,2.48
259,Esfarayen,IR,2022-04-13 23:50:25,37.0765,57.5101,55.06,19,55,9.4
260,Mercedes,AR,2022-04-13 23:50:25,-34.6515,-59.4307,54.79,55,1,5.21
261,Vila,PT,2022-04-13 23:50:26,42.0304,-8.1588,44.71,89,52,3.29
262,Kuusamo,FI,2022-04-13 23:50:26,65.9667,29.1833,26.64,86,0,1.14
263,Nangong,CN,2022-04-13 23:50:27,37.3581,115.3744,54.19,38,100,4.68
264,Ginda,IN,2022-04-13 23:50:27,30.6945,78.4932,55.09,42,26,8.77
265,Acapulco,MX,2022-04-13 23:45:43,16.8634,-99.8901,81.99,70,95,10.94
266,Izumo,JP,2022-04-13 23:50:28,35.3667,132.7667,57.09,94,75,16.11
267,Oxbow,CA,2022-04-13 23:50:28,49.2333,-102.1676,23.65,93,100,24.79
268,Brigantine,US,2022-04-13 23:47:58,39.4101,-74.3646,72.03,76,0,6.91
