City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Itacare,BR,77.18,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
527,Santa Isabel Do Rio Negro,BR,77.36,light rain,-0.4139,-65.0192,Hotel GSA
533,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
539,Dosso,NE,88.14,broken clouds,13.049,3.1937,Hotel Toubal
543,Casala-An,PH,80.73,overcast clouds,9.1167,123.05,"Panablawan, Ege treet"
545,Singaparna,ID,77.97,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
553,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
557,Poro,PH,81.37,overcast clouds,10.6292,124.4087,RMS Travellers Inn
560,Mirpur Sakro,PK,77.07,clear sky,24.5474,67.6277,Ali muhammad’s house
561,Sulangan,PH,81.46,overcast clouds,11.1373,123.7228,Maia's Beach Resort
562,Vogan,TG,80.42,overcast clouds,6.3333,1.5333,Hotel Sitsope Phenix
564,Lumut,MY,77.02,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
565,Itoman,JP,79.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
570,Yulara,AU,84.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
571,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
579,Colon,PA,82.36,scattered clouds,9.3592,-79.9014,Sand Diamond Hotel
583,Benguela,AO,78.28,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
584,Maturin,VE,77.41,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
588,Kapit,MY,79.25,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
593,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
600,Maner,IN,80.51,scattered clouds,25.65,84.8833,Mukesh Sweets
604,Turbat,PK,82.62,overcast clouds,26.0023,63.044,Mubashar Quarters
607,Kaohsiung,TW,82.35,scattered clouds,22.6163,120.3133,御宿商旅-中山館
611,Mackay,AU,85.68,overcast clouds,-21.15,149.2,International Lodge Motel
612,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
618,Minab,IR,81.7,broken clouds,27.1467,57.0801,Bam campground
623,Dong Hoi,VN,77.59,broken clouds,17.4833,106.6,Nam Long Hotel
624,Mayumba,GA,76.62,overcast clouds,-3.432,10.6554,LIKWALE LODGE
625,Kawalu,ID,78.71,broken clouds,-7.3817,108.2082,West Jontor
627,Honavar,IN,79.79,overcast clouds,14.2833,74.45,Hotel Sagar Residency
628,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
632,Omboue,GA,77.13,overcast clouds,-1.5746,9.2618,Hotel Olako
637,Acapulco,MX,79.63,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
642,Careiro Da Varzea,BR,81.21,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
646,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
652,Iona,US,79.03,overcast clouds,26.5204,-81.964,La Quinta Inn & Suites by Wyndham Ft. Myers-Sanibel Gateway
653,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
656,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
660,Puri,IN,81.12,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
665,Lethem,GY,80.35,overcast clouds,3.3803,-59.7968,Savannah Inn
668,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
669,Chinchani,IN,80.24,overcast clouds,19.8667,72.7,Vasantshrushti Farm
671,Lakhimpur,IN,80.73,clear sky,27.95,80.7667,funn mall hotel the landmark Royale
675,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
677,Lakeland Highlands,US,78.03,overcast clouds,27.9597,-81.9501,Imperial Swan Hotel Of Lakeland
678,Akyab,MM,82.8,scattered clouds,20.15,92.9,Hotel Memory
679,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
682,Kombissiri,BF,89.58,overcast clouds,12.0656,-1.3375,Mitibkieta Annexe
687,Buluang,PH,83.8,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
691,Dingle,PH,81.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
